Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,6.681000000000019,0.13729166034287943,6.7,6.62,6.62,6.73,6.8,6.34,6.83,6.71,6.63,6.83
1,6.623999999999996,0.19376274151593112,6.27,6.57,6.81,6.65,6.43,6.42,6.93,6.73,6.64,6.79
2,6.565999999999867,0.25566384179557383,6.08,6.43,6.57,6.5,6.4,6.33,6.86,6.86,6.9,6.73
3,6.586999999999969,0.2626042650074869,6.12,6.43,6.61,6.45,6.53,6.3,6.94,6.78,6.99,6.72
4,6.626999999999881,0.2710737906941994,6.22,6.39,6.57,6.49,6.53,6.37,7.12,6.9,6.9,6.78
5,6.625000000000022,0.21067747862386504,6.34,6.46,6.59,6.56,6.52,6.4,7.03,6.91,6.77,6.67
6,6.600999999999954,0.20471687766442678,6.43,6.43,6.57,6.46,6.55,6.39,6.98,6.87,6.85,6.48
7,6.585999999999926,0.20214846029736655,6.42,6.43,6.57,6.45,6.45,6.4,6.98,6.87,6.79,6.5
8,6.581999999999911,0.20793268141490187,6.45,6.43,6.57,6.45,6.35,6.4,6.98,6.87,6.79,6.53
9,6.581999999999956,0.20884443971535707,6.45,6.43,6.57,6.45,6.34,6.4,6.98,6.87,6.79,6.54
10,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
11,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
12,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
13,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
14,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
15,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
16,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
17,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
18,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
19,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
20,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
21,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
22,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
23,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
24,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
25,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
26,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
27,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
28,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
29,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
30,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
31,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
32,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
33,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
34,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
35,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
36,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
37,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
38,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
39,6.580999999999935,0.21002142747878422,6.45,6.43,6.57,6.45,6.33,6.4,6.98,6.87,6.79,6.54
