PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,13,6,8,6,3,6,5,9,6,8
1,0.0,4,8,8,9,11,6,10,7,5,6
2,0.0,9,7,8,7,9,6,8,4,8,9
3,0.0,9,10,9,8,4,11,6,8,12,10
4,0.0,4,1,3,6,2,5,4,2,7,4
5,0.0,7,5,6,2,8,8,6,3,4,5
6,0.0,2,3,9,0,2,7,4,6,2,2
7,0.0,9,10,8,10,6,6,5,5,4,6
8,0.0,3,5,7,6,8,4,3,10,6,7
9,0.0,7,10,3,9,12,6,6,8,7,5
10,0.0,3,8,2,7,2,3,7,8,6,4
11,0.0,6,9,5,6,8,8,7,7,5,5
12,0.0,7,5,8,4,9,6,9,7,6,3
13,0.0,9,4,6,11,8,12,7,7,10,11
14,0.0,4,3,6,3,3,3,9,5,5,9
15,0.0,4,6,4,6,5,3,4,4,7,6
