Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,5.234,0.20249444436822797,5.44,5.17,4.85,5.3,5.44,5.02,5.14,5.15,5.27,5.56
1,5.252999999999999,0.27349771479850493,5.53,5.06,4.64,5.43,5.59,4.97,5.4,5.3,5.26,5.35
2,5.257,0.2818173167142273,5.51,5.1,4.87,5.77,5.29,4.88,5.23,5.56,5.03,5.33
3,5.202,0.2904066114949933,5.28,4.99,4.77,5.74,5.12,4.89,5.37,5.57,5.0,5.29
4,5.122,0.24243762084297418,5.09,4.99,5.01,5.48,4.93,4.87,5.22,5.64,4.9,5.09
5,5.103,0.26222318738053885,4.94,4.99,4.98,5.49,4.88,4.91,5.25,5.66,4.85,5.08
6,5.086,0.2770270744891219,4.99,4.99,4.98,5.49,4.91,4.84,5.18,5.69,4.76,5.03
7,5.075,0.2820017730440783,4.97,4.99,4.98,5.49,4.87,4.87,5.12,5.71,4.76,4.99
8,5.083,0.2791791539495726,5.05,4.99,4.98,5.49,4.87,4.88,5.11,5.71,4.76,4.99
9,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
10,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
11,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
12,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
13,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
14,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
15,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
16,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
17,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
18,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
19,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
20,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
21,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
22,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
23,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
24,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
25,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
26,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
27,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
28,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
29,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
30,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
31,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
32,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
33,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
34,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
35,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
36,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
37,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
38,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
39,5.082,0.27992141754429317,5.05,4.99,4.98,5.49,4.87,4.87,5.11,5.71,4.76,4.99
