PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,20,20,19,24,14,22,19,15,15,16
1,0.0,14,19,14,16,17,12,19,16,12,15
2,0.0,13,12,11,13,12,12,11,11,16,15
3,0.0,9,12,14,9,13,8,10,15,13,11
4,0.0,9,6,7,5,9,8,6,9,10,4
5,0.0,6,1,5,4,6,8,6,3,5,7
6,0.0,4,8,6,5,4,5,3,2,2,4
7,0.0,6,4,8,6,3,4,7,4,4,5
8,0.0,5,5,1,4,2,3,5,6,3,6
9,0.0,6,7,4,3,9,4,2,11,3,3
10,NaN,0,2,1,4,3,1,2,4,6,5
11,0.0,2,0,1,2,4,5,6,3,4,2
12,0.0,5,3,5,3,2,4,2,0,4,2
13,0.0,1,1,2,1,1,1,1,1,2,2
14,NaN,0,0,2,1,0,2,1,0,1,2
15,NaN,0,0,0,0,1,1,0,0,0,1
