Iteration,Mean,Stdev,Run-0
0,4.800000000000008,NaN,4.8
1,4.560000000000001,NaN,4.56
2,4.399999999999992,1.6858739404357614E-7,4.4
3,4.2599999999999945,2.3084779657169682E-7,4.26
4,4.300000000000008,NaN,4.3
5,4.4200000000000035,NaN,4.42
6,4.339999999999992,1.4600096599955427E-7,4.34
7,4.269999999999995,1.3328003749250113E-7,4.27
8,4.269999999999995,1.3328003749250113E-7,4.27
9,4.269999999999995,1.3328003749250113E-7,4.27
10,4.269999999999995,1.3328003749250113E-7,4.27
11,4.269999999999995,1.3328003749250113E-7,4.27
12,4.269999999999995,1.3328003749250113E-7,4.27
13,4.269999999999995,1.3328003749250113E-7,4.27
14,4.269999999999995,1.3328003749250113E-7,4.27
15,4.269999999999995,1.3328003749250113E-7,4.27
16,4.269999999999995,1.3328003749250113E-7,4.27
17,4.269999999999995,1.3328003749250113E-7,4.27
18,4.269999999999995,1.3328003749250113E-7,4.27
19,4.269999999999995,1.3328003749250113E-7,4.27
20,4.269999999999995,1.3328003749250113E-7,4.27
21,4.269999999999995,1.3328003749250113E-7,4.27
22,4.269999999999995,1.3328003749250113E-7,4.27
23,4.269999999999995,1.3328003749250113E-7,4.27
24,4.269999999999995,1.3328003749250113E-7,4.27
25,4.269999999999995,1.3328003749250113E-7,4.27
26,4.269999999999995,1.3328003749250113E-7,4.27
27,4.269999999999995,1.3328003749250113E-7,4.27
28,4.269999999999995,1.3328003749250113E-7,4.27
29,4.269999999999995,1.3328003749250113E-7,4.27
30,4.269999999999995,1.3328003749250113E-7,4.27
31,4.269999999999995,1.3328003749250113E-7,4.27
32,4.269999999999995,1.3328003749250113E-7,4.27
33,4.269999999999995,1.3328003749250113E-7,4.27
34,4.269999999999995,1.3328003749250113E-7,4.27
35,4.269999999999995,1.3328003749250113E-7,4.27
36,4.269999999999995,1.3328003749250113E-7,4.27
37,4.269999999999995,1.3328003749250113E-7,4.27
38,4.269999999999995,1.3328003749250113E-7,4.27
39,4.269999999999995,1.3328003749250113E-7,4.27
Iteration,Mean,Stdev,Run-0
0,2.419999999999995,1.7120130796843852E-7,2.42
1,2.5,0.0,2.5
2,2.5099999999999962,1.3657139822709083E-7,2.51
3,2.5200000000000045,NaN,2.52
4,2.5300000000000007,NaN,2.53
5,2.580000000000006,NaN,2.58
6,2.5300000000000007,NaN,2.53
7,2.5500000000000047,NaN,2.55
8,2.5500000000000047,NaN,2.55
9,2.580000000000006,NaN,2.58
10,2.569999999999995,1.6858739404357614E-7,2.57
11,2.569999999999995,1.6858739404357614E-7,2.57
12,2.6299999999999972,1.6593230851978128E-7,2.63
13,2.6299999999999972,1.6593230851978128E-7,2.63
14,2.650000000000003,NaN,2.65
15,2.650000000000003,NaN,2.65
16,2.650000000000003,NaN,2.65
17,2.650000000000003,NaN,2.65
18,2.650000000000003,NaN,2.65
19,2.650000000000003,NaN,2.65
20,2.650000000000003,NaN,2.65
21,2.650000000000003,NaN,2.65
22,2.650000000000003,NaN,2.65
23,2.650000000000003,NaN,2.65
24,2.650000000000003,NaN,2.65
25,2.650000000000003,NaN,2.65
26,2.650000000000003,NaN,2.65
27,2.650000000000003,NaN,2.65
28,2.650000000000003,NaN,2.65
29,2.650000000000003,NaN,2.65
30,2.650000000000003,NaN,2.65
31,2.650000000000003,NaN,2.65
32,2.650000000000003,NaN,2.65
33,2.650000000000003,NaN,2.65
34,2.650000000000003,NaN,2.65
35,2.650000000000003,NaN,2.65
36,2.650000000000003,NaN,2.65
37,2.650000000000003,NaN,2.65
38,2.650000000000003,NaN,2.65
39,2.650000000000003,NaN,2.65
