PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,11,9,10,12,4,8,7,9,8,9
1,0.0,8,14,12,4,9,7,8,8,11,3
2,0.0,11,9,12,4,11,7,8,5,6,8
3,0.0,6,7,10,14,8,7,5,8,9,9
4,0.0,8,5,7,3,3,6,6,9,7,10
5,0.0,8,8,3,9,6,2,4,4,7,10
6,0.0,5,3,3,3,5,6,6,2,2,5
7,0.0,3,5,2,5,5,3,5,3,5,3
8,0.0,5,7,8,7,6,6,7,6,6,7
9,0.0,7,4,8,5,9,8,4,10,5,10
10,0.0,7,5,5,5,9,7,6,4,6,2
11,0.0,5,11,6,2,4,9,6,9,5,5
12,0.0,8,3,6,9,8,12,6,7,5,5
13,0.0,2,4,2,7,6,3,11,3,3,5
14,0.0,2,2,3,6,4,4,6,6,9,7
15,0.0,4,4,3,5,3,5,5,7,6,2
