Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,6.653999999999893,0.21758676430733606,6.33,6.6,6.24,6.74,6.88,6.95,6.85,6.61,6.61,6.73
1,6.860999999999871,0.19791159643027117,6.66,6.8,6.5,6.85,6.69,7.12,7.07,6.98,7.11,6.83
2,6.932000000000019,0.39954474092297887,6.78,6.87,6.11,6.75,6.69,7.07,7.1,7.25,7.74,6.96
3,6.9409999999999625,0.3047769676346426,6.7,6.85,6.29,6.81,6.87,7.1,7.06,7.16,7.5,7.07
4,6.906999999999959,0.3428425294513601,6.63,6.98,6.31,6.78,6.81,7.29,6.9,6.73,7.63,7.01
5,6.94499999999994,0.3528526604710807,6.53,6.95,6.33,6.89,6.97,7.29,7.0,6.83,7.69,6.97
6,6.961000000000004,0.3959659076228101,6.68,7.03,6.21,6.84,7.19,7.24,6.92,6.7,7.8,7.0
7,6.947000000000033,0.3905137641616339,6.54,7.1,6.23,6.78,7.17,7.15,6.97,6.73,7.75,7.05
8,6.98899999999993,0.3987844029063603,6.62,7.22,6.25,6.81,7.22,7.09,6.95,6.73,7.79,7.21
9,6.969999999999947,0.3953985331295707,6.63,7.25,6.22,6.75,7.21,7.09,6.85,6.73,7.69,7.28
10,6.966999999999974,0.3916388642623268,6.65,7.21,6.24,6.75,7.21,7.09,6.78,6.73,7.67,7.34
11,6.966999999999974,0.4103425398377222,6.65,7.21,6.24,6.75,7.16,7.09,6.73,6.73,7.77,7.34
12,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
13,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
14,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
15,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
16,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
17,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
18,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
19,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
20,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
21,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
22,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
23,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
24,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
25,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
26,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
27,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
28,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
29,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
30,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
31,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
32,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
33,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
34,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
35,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
36,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
37,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
38,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
39,6.9439999999999955,0.4286070461394226,6.65,7.21,6.12,6.75,7.05,7.09,6.73,6.73,7.77,7.34
