PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,8,15,13,12,18,10,10,14,11,8
1,0.0,14,5,11,6,12,10,8,14,8,10
2,0.0,11,12,11,7,5,9,5,10,12,14
3,0.0,9,8,11,16,14,11,6,9,12,4
4,0.0,4,8,5,1,4,7,6,3,8,4
5,0.0,6,7,6,9,4,6,5,8,5,7
6,0.0,5,5,1,4,5,5,6,1,4,7
7,0.0,3,3,2,3,7,1,3,4,3,5
8,0.0,7,4,7,4,4,3,6,5,6,7
9,0.0,5,5,8,6,6,7,8,6,8,7
10,0.0,6,4,5,8,8,3,7,3,4,8
11,0.0,2,7,3,7,2,2,6,9,3,1
12,0.0,7,6,5,5,3,9,6,6,4,6
13,0.0,3,2,7,5,3,6,7,3,4,3
14,0.0,4,6,3,4,4,4,4,2,6,4
15,0.0,6,3,2,3,1,7,7,3,2,5
