PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,12,16,11,16,13,15,22,18,17,11
1,0.0,12,15,13,8,13,13,14,7,14,13
2,0.0,11,12,14,10,8,9,10,7,12,16
3,0.0,10,12,7,17,11,8,6,8,9,8
4,0.0,8,8,7,2,7,7,6,9,3,10
5,0.0,8,6,5,7,5,6,3,6,6,10
6,0.0,1,4,5,6,2,4,4,8,2,7
7,0.0,4,2,5,2,2,1,9,2,3,4
8,0.0,7,3,7,4,3,6,4,7,3,3
9,0.0,6,8,3,6,6,6,4,6,4,4
10,0.0,5,3,7,5,9,5,5,7,8,4
11,0.0,3,5,9,9,5,4,3,4,4,2
12,0.0,3,3,3,4,4,3,7,3,2,4
13,0.0,5,1,3,2,4,7,2,1,5,3
14,0.0,2,1,1,1,4,4,1,4,5,1
15,0.0,3,1,0,1,4,2,0,3,3,0
