PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,69,72,70,71,72,65,74,72,80,77
1,0.0,15,11,17,14,17,20,12,16,10,11
2,0.0,8,8,3,10,5,8,5,7,6,7
3,0.0,6,7,7,4,6,6,5,5,3,4
4,0.0,2,2,3,1,0,1,2,0,0,0
5,NaN,0,0,0,0,0,0,2,0,1,1
6,NaN,0,0,0,0,0,0,0,0,0,0
7,NaN,0,0,0,0,0,0,0,0,0,0
8,NaN,0,0,0,0,0,0,0,0,0,0
9,NaN,0,0,0,0,0,0,0,0,0,0
10,NaN,0,0,0,0,0,0,0,0,0,0
11,NaN,0,0,0,0,0,0,0,0,0,0
12,NaN,0,0,0,0,0,0,0,0,0,0
13,NaN,0,0,0,0,0,0,0,0,0,0
14,NaN,0,0,0,0,0,0,0,0,0,0
15,NaN,0,0,0,0,0,0,0,0,0,0
