PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,12,7,10,9,7,9,10,10,6,6
1,0.0,9,14,11,7,10,8,8,9,10,5
2,0.0,8,11,9,6,9,8,7,6,9,7
3,0.0,5,5,10,7,6,12,9,9,8,8
4,0.0,6,5,3,3,3,6,4,2,6,5
5,0.0,8,6,5,5,2,4,6,4,6,13
6,0.0,3,4,3,5,6,4,1,5,5,7
7,0.0,6,2,5,7,3,6,4,3,4,3
8,0.0,7,4,8,6,5,4,4,5,6,2
9,0.0,3,10,7,6,8,4,8,8,6,8
10,0.0,6,3,8,6,7,11,10,6,7,5
11,0.0,5,7,5,11,6,7,8,13,6,9
12,0.0,4,11,3,11,11,8,3,5,6,3
13,0.0,6,6,5,7,10,4,8,6,4,7
14,0.0,7,4,5,2,3,3,5,5,5,8
15,0.0,5,1,3,2,4,2,5,4,6,4
