PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,14,15,13,19,11,16,18,15,14,15
1,0.0,10,9,9,2,14,9,5,13,15,9
2,0.0,8,8,4,8,2,7,4,7,5,7
3,0.0,9,5,12,3,12,11,7,6,7,11
4,0.0,6,15,6,10,5,6,7,8,7,6
5,0.0,7,11,6,10,7,5,8,4,7,12
6,0.0,7,2,7,5,6,3,4,8,9,3
7,0.0,2,3,4,5,6,8,4,2,6,6
8,0.0,2,5,3,3,5,3,9,3,3,5
9,0.0,9,4,2,10,2,4,5,5,4,5
10,0.0,6,2,6,2,5,5,7,7,8,0
11,0.0,3,7,12,3,9,8,9,7,4,9
12,0.0,8,5,2,8,5,7,3,4,4,2
13,0.0,4,1,6,2,4,5,5,3,1,2
14,0.0,2,3,5,6,3,2,1,3,2,1
15,0.0,3,5,3,4,4,1,4,5,4,7
