PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,11,7,3,9,8,3,10,10,9,6
1,0.0,6,14,10,6,10,5,10,5,9,14
2,0.0,9,11,7,10,8,7,10,2,9,9
3,0.0,2,5,8,8,9,5,3,6,3,4
4,0.0,3,5,8,2,2,5,4,9,5,7
5,0.0,10,6,4,6,6,6,1,8,4,8
6,0.0,2,4,5,4,7,5,1,2,2,4
7,0.0,5,2,2,7,3,7,4,3,4,5
8,0.0,7,4,11,7,6,5,7,11,8,3
9,0.0,5,10,3,6,6,8,7,11,8,7
10,0.0,6,3,9,5,5,6,8,5,7,5
11,0.0,11,7,11,8,8,13,12,11,8,9
12,0.0,7,11,8,6,10,7,6,3,1,8
13,0.0,4,6,3,8,6,7,5,2,10,4
14,0.0,5,4,5,4,3,6,6,7,7,3
15,0.0,7,1,3,4,3,5,6,5,6,4
