Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,1.0730000000000055,0.02531797780207908,1.1,1.07,1.05,1.03,1.1,1.07,1.04,1.08,1.11,1.08
1,1.088999999999996,0.01640121946751561,1.08,1.08,1.07,1.09,1.12,1.09,1.06,1.1,1.1,1.1
2,1.0989999999999875,0.023853720884596426,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.12,1.12,1.12
3,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
4,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
5,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
6,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
7,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
8,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
9,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
10,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
11,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
12,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
13,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
14,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
15,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
16,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
17,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
18,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
19,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
20,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
21,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
22,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
23,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
24,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
25,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
26,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
27,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
28,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
29,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
30,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
31,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
32,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
33,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
34,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
35,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
36,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
37,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
38,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
39,1.0999999999999865,0.024899799196674337,1.09,1.09,1.07,1.09,1.14,1.09,1.06,1.13,1.12,1.12
