Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,8.738000000000012,0.354451689231678,8.26,8.84,7.89,9.07,9.03,8.91,8.82,8.92,8.72,8.92
1,8.705999999999932,0.3273591300110678,8.14,8.56,8.16,9.2,8.75,8.73,8.78,9.09,8.78,8.87
2,8.706000000000033,0.40115333726577485,8.0,8.98,8.04,9.24,8.37,8.76,8.84,8.97,8.97,8.89
3,8.793999999999963,0.3936800731575149,8.18,9.1,8.17,9.57,8.65,8.66,8.91,8.93,8.87,8.9
4,8.788999999999852,0.3260199380444904,8.34,8.91,8.2,9.39,8.62,8.8,8.9,8.95,8.73,9.05
5,8.787999999999997,0.3572618087630542,8.25,8.93,8.22,9.53,8.62,8.83,8.93,8.95,8.72,8.9
6,8.778999999999911,0.3301953967000184,8.37,8.98,8.24,9.5,8.62,8.7,8.88,8.95,8.75,8.8
7,8.760999999999983,0.31414805426717357,8.47,8.82,8.27,9.5,8.62,8.58,8.87,8.95,8.84,8.69
8,8.78499999999998,0.3080665512505148,8.47,8.78,8.28,9.5,8.62,8.71,8.87,8.95,8.91,8.76
9,8.757000000000001,0.3329279201250836,8.47,8.73,8.16,9.5,8.62,8.6,8.87,8.95,8.91,8.76
10,8.770000000000005,0.3320843266381659,8.47,8.85,8.17,9.5,8.62,8.6,8.87,8.95,8.91,8.76
11,8.774,0.31090834662130923,8.47,8.77,8.29,9.5,8.62,8.6,8.87,8.95,8.91,8.76
12,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
13,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
14,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
15,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
16,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
17,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
18,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
19,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
20,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
21,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
22,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
23,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
24,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
25,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
26,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
27,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
28,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
29,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
30,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
31,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
32,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
33,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
34,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
35,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
36,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
37,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
38,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
39,8.768000000000006,0.3206181529462898,8.47,8.77,8.23,9.5,8.62,8.6,8.87,8.95,8.91,8.76
