PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,49,45,49,46,49,46,45,40,48,48
1,0.0,26,22,28,27,33,26,32,28,25,26
2,0.0,11,15,8,12,9,17,13,20,14,8
3,0.0,11,10,8,11,6,9,5,7,7,12
4,NaN,0,5,4,3,0,1,2,2,1,4
5,0.0,2,2,2,0,2,0,2,2,4,1
6,NaN,0,0,0,0,0,0,0,0,0,0
7,0.0,1,1,0,0,0,0,1,0,1,0
8,NaN,0,0,1,1,1,1,0,1,0,1
9,NaN,0,0,0,0,0,0,0,0,0,0
10,NaN,0,0,0,0,0,0,0,0,0,0
11,NaN,0,0,0,0,0,0,0,0,0,0
12,NaN,0,0,0,0,0,0,0,0,0,0
13,NaN,0,0,0,0,0,0,0,0,0,0
14,NaN,0,0,0,0,0,0,0,0,0,0
15,NaN,0,0,0,0,0,0,0,0,0,0
