Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
1,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
2,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
3,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
4,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
5,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
6,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
7,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
8,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
9,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
10,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
11,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
12,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
13,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
14,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
15,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
16,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
17,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
18,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
19,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
20,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
21,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
22,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
23,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
24,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
25,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
26,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
27,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
28,-6732.080128838314,NaN,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314,-6732.080128838314
