PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,14,14,14,14,14,14,14,14,14,14
1,0.0,13,13,13,13,13,13,13,13,13,13
2,0.0,15,15,15,15,15,15,15,15,15,15
3,0.0,4,4,4,4,4,4,4,4,4,4
4,0.0,8,8,8,8,8,8,8,8,8,8
5,0.0,8,8,8,8,8,8,8,8,8,8
6,0.0,5,5,5,5,5,5,5,5,5,5
7,0.0,6,6,6,6,6,6,6,6,6,6
8,0.0,6,6,6,6,6,6,6,6,6,6
9,0.0,2,2,2,2,2,2,2,2,2,2
10,0.0,7,7,7,7,7,7,7,7,7,7
11,0.0,6,6,6,6,6,6,6,6,6,6
12,0.0,5,5,5,5,5,5,5,5,5,5
13,0.0,1,1,1,1,1,1,1,1,1,1
14,NaN,0,0,0,0,0,0,0,0,0,0
15,NaN,0,0,0,0,0,0,0,0,0,0
