Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
1,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
2,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
3,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
4,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
5,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
6,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
7,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
8,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
9,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
10,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
11,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
12,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
13,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
14,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
15,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
16,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
17,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
18,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
19,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
20,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
21,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
22,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
23,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
24,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
25,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
26,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
27,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
28,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
29,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
30,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
31,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
32,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
33,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
34,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
35,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
36,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
37,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
38,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
39,4.199999999999923,6.336060650786549E-7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
