Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,6.681000000000106,0.24031021617610954,6.51,6.54,6.46,6.55,6.76,6.63,6.75,6.81,7.31,6.49
1,6.692000000000002,0.23789913829247997,6.28,6.74,6.62,6.73,7.03,6.61,6.81,6.5,7.11,6.49
2,6.708999999999919,0.35817453845990876,6.0,6.7,6.51,6.84,7.19,6.56,7.05,6.36,7.19,6.69
3,6.711000000000023,0.307553247421717,6.16,7.0,6.67,6.89,6.79,6.46,7.02,6.36,7.18,6.58
4,6.677999999999968,0.27959971387765775,6.31,7.07,6.62,6.94,6.74,6.47,7.03,6.24,6.85,6.51
5,6.645000000000011,0.2660545056935598,6.38,7.04,6.69,6.91,6.7,6.29,6.97,6.25,6.7,6.52
6,6.654999999999983,0.27968732541937774,6.29,7.04,6.65,6.88,6.69,6.28,7.11,6.34,6.66,6.61
7,6.6719999999999695,0.27400000000144437,6.3,7.04,6.65,6.87,6.73,6.27,7.11,6.39,6.7,6.66
8,6.6649999999999725,0.27958004220732957,6.27,7.04,6.65,6.87,6.67,6.25,7.11,6.4,6.71,6.68
9,6.661999999999959,0.26791043279440446,6.33,7.04,6.65,6.87,6.66,6.25,7.11,6.44,6.64,6.63
10,6.646000000000069,0.26657831869602405,6.39,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.55
11,6.639000000000049,0.27351233975749284,6.33,7.04,6.65,6.87,6.44,6.25,7.11,6.56,6.64,6.5
12,6.638000000000054,0.27172780498017923,6.36,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
13,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
14,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
15,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
16,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
17,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
18,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
19,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
20,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
21,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
22,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
23,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
24,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
25,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
26,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
27,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
28,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
29,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
30,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
31,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
32,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
33,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
34,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
35,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
36,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
37,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
38,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
39,6.630000000000051,0.28082022719061345,6.28,7.04,6.65,6.87,6.44,6.25,7.11,6.52,6.64,6.5
