PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,23,10,12,12,12,10,18,16,11,11
1,0.0,11,11,10,12,14,11,11,9,14,8
2,0.0,9,7,11,8,9,10,5,9,10,10
3,0.0,7,9,8,6,9,13,8,9,7,13
4,0.0,3,4,4,2,10,2,3,4,3,2
5,0.0,4,6,5,5,5,7,5,11,3,11
6,0.0,2,8,4,3,5,7,4,4,3,4
7,0.0,6,6,5,8,2,8,3,3,5,5
8,0.0,4,5,6,6,4,5,8,7,7,5
9,0.0,6,6,5,8,5,3,5,7,5,5
10,0.0,2,4,3,4,5,5,9,6,3,6
11,0.0,6,8,5,0,3,3,7,3,7,3
12,0.0,8,6,9,8,8,5,5,4,9,4
13,0.0,4,2,4,6,5,6,6,4,4,4
14,0.0,1,3,6,5,1,5,1,1,6,3
15,0.0,4,5,3,7,3,0,2,3,3,6
