Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,8.603000000000044,0.3218400223693633,8.15,8.39,7.93,8.97,8.71,8.72,8.76,8.92,8.67,8.81
1,8.617999999999945,0.3382543421766462,8.41,8.17,7.92,8.88,8.69,8.65,8.9,9.09,8.67,8.8
2,8.646000000000026,0.3717310855968721,8.31,8.24,7.86,8.92,8.93,8.51,8.9,8.97,8.87,8.95
3,8.588000000000067,0.3836613089684664,8.08,8.08,8.0,9.11,8.69,8.51,8.79,8.93,8.72,8.97
4,8.580999999999946,0.370687199672772,8.18,7.95,8.12,8.98,8.68,8.51,8.73,8.95,8.61,9.1
5,8.502000000000006,0.42404716718790575,7.97,7.94,7.88,8.83,8.5,8.51,8.64,8.95,8.61,9.19
6,8.454999999999908,0.4366062299166485,7.89,7.73,7.89,8.83,8.49,8.51,8.66,8.95,8.61,8.99
7,8.468999999999907,0.4031984623006701,7.86,7.93,7.89,8.83,8.49,8.51,8.73,8.95,8.61,8.89
8,8.469999999999912,0.40706264874399095,7.85,7.92,7.89,8.83,8.49,8.51,8.83,8.95,8.61,8.82
9,8.470999999999977,0.43304618691391333,7.73,7.95,7.89,8.83,8.49,8.51,8.8,8.95,8.61,8.95
10,8.460999999999927,0.44446484675549736,7.69,7.9,7.89,8.83,8.49,8.51,8.82,8.95,8.61,8.92
11,8.459999999999988,0.4558508528024296,7.62,7.93,7.89,8.83,8.49,8.51,8.85,8.95,8.61,8.92
12,8.45399999999993,0.43845638323746544,7.67,7.93,7.89,8.83,8.49,8.51,8.74,8.95,8.61,8.92
13,8.44199999999994,0.43206018099501015,7.67,7.93,7.89,8.83,8.49,8.51,8.62,8.95,8.61,8.92
14,8.449999999999934,0.43600458713374074,7.67,7.93,7.89,8.83,8.49,8.51,8.7,8.95,8.61,8.92
15,8.456999999999995,0.4405008513052849,7.67,7.93,7.89,8.83,8.49,8.51,8.77,8.95,8.61,8.92
16,8.445999999999936,0.43387094855684616,7.67,7.93,7.89,8.83,8.49,8.51,8.66,8.95,8.61,8.92
17,8.445999999999936,0.43387094855684616,7.67,7.93,7.89,8.83,8.49,8.51,8.66,8.95,8.61,8.92
18,8.445999999999936,0.43387094855684616,7.67,7.93,7.89,8.83,8.49,8.51,8.66,8.95,8.61,8.92
19,8.445999999999936,0.43387094855684616,7.67,7.93,7.89,8.83,8.49,8.51,8.66,8.95,8.61,8.92
20,8.445999999999936,0.43387094855684616,7.67,7.93,7.89,8.83,8.49,8.51,8.66,8.95,8.61,8.92
21,8.445999999999936,0.43387094855684616,7.67,7.93,7.89,8.83,8.49,8.51,8.66,8.95,8.61,8.92
22,8.445999999999936,0.43387094855684616,7.67,7.93,7.89,8.83,8.49,8.51,8.66,8.95,8.61,8.92
23,8.445999999999936,0.43387094855684616,7.67,7.93,7.89,8.83,8.49,8.51,8.66,8.95,8.61,8.92
24,8.445999999999936,0.43387094855684616,7.67,7.93,7.89,8.83,8.49,8.51,8.66,8.95,8.61,8.92
25,8.445999999999936,0.43387094855684616,7.67,7.93,7.89,8.83,8.49,8.51,8.66,8.95,8.61,8.92
26,8.445999999999936,0.43387094855684616,7.67,7.93,7.89,8.83,8.49,8.51,8.66,8.95,8.61,8.92
27,8.445999999999936,0.43387094855684616,7.67,7.93,7.89,8.83,8.49,8.51,8.66,8.95,8.61,8.92
28,8.445999999999936,0.43387094855684616,7.67,7.93,7.89,8.83,8.49,8.51,8.66,8.95,8.61,8.92
29,8.445999999999936,0.43387094855684616,7.67,7.93,7.89,8.83,8.49,8.51,8.66,8.95,8.61,8.92
30,8.445999999999936,0.43387094855684616,7.67,7.93,7.89,8.83,8.49,8.51,8.66,8.95,8.61,8.92
31,8.445999999999936,0.43387094855684616,7.67,7.93,7.89,8.83,8.49,8.51,8.66,8.95,8.61,8.92
32,8.445999999999936,0.43387094855684616,7.67,7.93,7.89,8.83,8.49,8.51,8.66,8.95,8.61,8.92
33,8.445999999999936,0.43387094855684616,7.67,7.93,7.89,8.83,8.49,8.51,8.66,8.95,8.61,8.92
34,8.445999999999936,0.43387094855684616,7.67,7.93,7.89,8.83,8.49,8.51,8.66,8.95,8.61,8.92
35,8.445999999999936,0.43387094855684616,7.67,7.93,7.89,8.83,8.49,8.51,8.66,8.95,8.61,8.92
36,8.445999999999936,0.43387094855684616,7.67,7.93,7.89,8.83,8.49,8.51,8.66,8.95,8.61,8.92
37,8.445999999999936,0.43387094855684616,7.67,7.93,7.89,8.83,8.49,8.51,8.66,8.95,8.61,8.92
38,8.445999999999936,0.43387094855684616,7.67,7.93,7.89,8.83,8.49,8.51,8.66,8.95,8.61,8.92
39,8.445999999999936,0.43387094855684616,7.67,7.93,7.89,8.83,8.49,8.51,8.66,8.95,8.61,8.92
