PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,21,17,21,26,12,22,22,18,17,14
1,0.0,14,22,15,17,17,10,15,16,18,13
2,0.0,11,9,16,9,11,18,10,11,12,18
3,0.0,11,13,11,7,11,8,10,12,8,14
4,0.0,11,4,9,4,8,8,9,7,8,3
5,0.0,5,3,3,9,8,10,5,4,5,8
6,0.0,4,6,4,8,7,3,6,4,5,5
7,0.0,6,4,7,6,2,3,3,5,5,5
8,0.0,2,6,3,3,2,3,4,6,2,7
9,0.0,6,7,3,3,7,2,2,10,4,2
10,NaN,0,3,2,2,5,4,4,4,5,2
11,0.0,1,1,3,1,4,2,4,1,1,3
12,0.0,5,3,2,3,3,3,4,0,4,4
13,NaN,0,1,1,1,2,3,2,1,3,2
14,0.0,1,1,0,1,0,1,0,1,0,0
15,0.0,2,0,0,0,1,0,0,0,3,0
