Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,2.303000000000006,0.11099999999950802,2.23,2.24,2.47,2.16,2.49,2.16,2.26,2.29,2.38,2.35
1,2.3479999999999834,0.12196720870831558,2.13,2.52,2.48,2.32,2.32,2.34,2.32,2.18,2.37,2.5
2,2.3519999999999612,0.09651942809692414,2.22,2.46,2.51,2.3,2.28,2.35,2.35,2.21,2.45,2.39
3,2.3779999999999806,0.118473625757716,2.18,2.53,2.52,2.34,2.29,2.38,2.32,2.25,2.54,2.43
4,2.3979999999999904,0.13181805642654407,2.19,2.55,2.53,2.34,2.31,2.36,2.34,2.27,2.63,2.46
5,2.3869999999999862,0.12892245731476362,2.19,2.54,2.54,2.34,2.3,2.31,2.34,2.26,2.59,2.46
6,2.3839999999999755,0.1333566646259892,2.19,2.53,2.52,2.34,2.29,2.31,2.34,2.24,2.62,2.46
7,2.379000000000002,0.12887590930825008,2.19,2.49,2.5,2.34,2.27,2.31,2.34,2.26,2.63,2.46
8,2.3769999999999807,0.12625767303478527,2.19,2.48,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
9,2.3739999999999783,0.12411285187350372,2.19,2.45,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
10,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
11,2.372999999999979,0.12353542002264438,2.19,2.44,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
12,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
13,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
14,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
15,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
16,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
17,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
18,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
19,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
20,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
21,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
22,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
23,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
24,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
25,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
26,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
27,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
28,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
29,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
30,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
31,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
32,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
33,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
34,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
35,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
36,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
37,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
38,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
39,2.374999999999978,0.12475976915726356,2.19,2.46,2.5,2.34,2.28,2.31,2.34,2.25,2.62,2.46
