Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,3.304,0.16402438843050152,3.08,3.39,3.14,3.36,3.5,3.15,3.16,3.28,3.37,3.61
1,3.3229999999999995,0.14220056258679553,3.24,3.52,3.24,3.34,3.48,3.21,3.1,3.22,3.33,3.55
2,3.315,0.16656830430787084,3.09,3.42,3.32,3.4,3.57,3.11,3.15,3.22,3.3,3.57
3,3.314,0.14914422550001927,3.11,3.49,3.29,3.38,3.49,3.18,3.22,3.16,3.26,3.56
4,3.313999999999999,0.14772948250097487,3.07,3.48,3.33,3.34,3.47,3.18,3.26,3.19,3.25,3.57
5,3.3230000000000004,0.15356106277308734,3.07,3.54,3.37,3.34,3.46,3.16,3.26,3.21,3.26,3.56
6,3.304,0.15583324420675873,2.98,3.5,3.38,3.34,3.45,3.2,3.26,3.17,3.26,3.5
7,3.315,0.14506894912420393,3.07,3.54,3.34,3.34,3.47,3.2,3.26,3.17,3.26,3.5
8,3.314,0.14008568806270078,3.1,3.54,3.3,3.34,3.47,3.2,3.26,3.17,3.26,3.5
9,3.31,0.14099645385611853,3.1,3.54,3.26,3.34,3.47,3.2,3.26,3.17,3.26,3.5
10,3.312,0.14041367454774742,3.1,3.54,3.28,3.34,3.47,3.2,3.26,3.17,3.26,3.5
11,3.311,0.14067338056647805,3.1,3.54,3.27,3.34,3.47,3.2,3.26,3.17,3.26,3.5
12,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
13,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
14,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
15,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
16,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
17,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
18,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
19,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
20,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
21,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
22,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
23,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
24,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
25,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
26,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
27,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
28,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
29,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
30,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
31,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
32,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
33,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
34,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
35,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
36,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
37,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
38,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
39,3.3089999999999997,0.1413824600153869,3.1,3.54,3.25,3.34,3.47,3.2,3.26,3.17,3.26,3.5
