PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,27,16,22,29,24,27,21,19,22,21
1,0.0,14,25,20,19,22,13,21,20,15,11
2,0.0,16,16,13,15,17,18,17,18,16,19
3,0.0,12,13,11,9,9,9,10,14,19,13
4,0.0,7,5,9,4,9,10,7,12,8,6
5,0.0,8,4,3,3,4,7,4,3,3,9
6,0.0,4,10,4,6,4,4,5,3,6,4
7,0.0,6,5,6,4,0,3,6,4,3,5
8,0.0,1,2,4,3,1,2,3,1,1,4
9,0.0,2,2,3,2,5,4,1,5,1,2
10,NaN,0,1,1,2,1,1,0,1,0,2
11,NaN,0,0,1,0,1,0,1,0,1,0
12,0.0,3,1,3,2,2,1,2,0,4,3
13,NaN,0,0,0,2,1,1,1,0,1,1
14,NaN,0,0,0,0,0,0,1,0,0,0
15,NaN,0,0,0,0,0,0,0,0,0,0
