Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,7.393999999999916,0.2792203431018464,7.05,7.25,6.97,7.66,7.25,7.38,7.61,7.69,7.85,7.23
1,7.33400000000001,0.3174334575947747,6.96,7.36,6.73,7.8,7.36,7.35,7.17,7.44,7.83,7.34
2,7.2760000000000575,0.2965872552864759,6.99,7.24,6.74,7.67,7.25,7.39,7.05,7.34,7.81,7.28
3,7.218999999999952,0.2911511634884349,7.11,7.09,6.66,7.46,6.93,7.33,7.08,7.4,7.74,7.39
4,7.229999999999998,0.24041630560466806,7.06,7.19,6.68,7.39,7.07,7.38,7.17,7.45,7.55,7.36
5,7.259999999999984,0.23168944732126984,7.1,7.17,6.7,7.36,7.15,7.47,7.28,7.39,7.5,7.48
6,7.218000000000001,0.16678129391548138,7.23,7.14,6.81,7.34,7.2,7.37,7.21,7.43,7.33,7.12
7,7.2290000000000045,0.11440716760511666,7.15,7.16,7.02,7.28,7.18,7.33,7.17,7.46,7.29,7.25
8,7.215999999999996,0.13222707740781128,7.08,7.22,7.01,7.22,7.16,7.3,7.1,7.5,7.29,7.28
9,7.201000000000035,0.14355835050343976,7.06,7.28,6.99,7.11,7.2,7.31,7.1,7.51,7.29,7.16
10,7.202999999999946,0.1438089009804226,7.06,7.19,7.06,7.1,7.29,7.39,7.1,7.48,7.29,7.07
11,7.197000000000043,0.12751862608617553,7.06,7.19,7.06,7.05,7.29,7.39,7.1,7.39,7.29,7.15
12,7.2190000000000225,0.1308013761394057,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.45,7.29,7.25
13,7.220000000000044,0.13258959234855813,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.46,7.29,7.25
14,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
15,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
16,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
17,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
18,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
19,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
20,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
21,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
22,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
23,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
24,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
25,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
26,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
27,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
28,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
29,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
30,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
31,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
32,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
33,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
34,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
35,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
36,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
37,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
38,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
39,7.227000000000015,0.1462224333000095,7.06,7.19,7.06,7.11,7.29,7.39,7.1,7.53,7.29,7.25
