PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,50,48,45,48,49,47,44,54,48,48
1,0.0,24,23,26,27,27,31,30,22,24,28
2,0.0,15,14,12,13,13,11,16,13,17,11
3,0.0,8,12,13,8,8,6,7,6,8,9
4,0.0,1,3,3,4,2,2,2,4,3,2
5,NaN,0,0,1,0,1,3,1,1,0,2
6,0.0,1,0,0,0,0,0,0,0,0,0
7,0.0,1,0,0,0,0,0,0,0,0,0
8,NaN,0,0,0,0,0,0,0,0,0,0
9,NaN,0,0,0,0,0,0,0,0,0,0
10,NaN,0,0,0,0,0,0,0,0,0,0
11,NaN,0,0,0,0,0,0,0,0,0,0
12,NaN,0,0,0,0,0,0,0,0,0,0
13,NaN,0,0,0,0,0,0,0,0,0,0
14,NaN,0,0,0,0,0,0,0,0,0,0
15,NaN,0,0,0,0,0,0,0,0,0,0
