Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
1,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
2,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
3,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
4,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
5,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
6,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
7,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
8,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
9,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
10,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
11,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
12,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
13,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
14,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
15,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
16,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
17,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
18,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
19,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
20,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
21,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
22,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
23,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
24,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
25,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
26,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
27,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
28,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
29,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
30,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
31,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
32,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
33,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
34,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
35,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
36,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
37,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
38,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
39,4.239999999999892,9.499417215889232E-7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
