Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,-6333.175011287655,1.4950498918354357E-4,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656
1,-6333.175011287655,1.4950498918354357E-4,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656
2,-6333.175011287655,1.4950498918354357E-4,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656
3,-6333.175011287655,1.4950498918354357E-4,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656
4,-6333.175011287655,1.4950498918354357E-4,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656
5,-6333.175011287655,1.4950498918354357E-4,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656
6,-6333.175011287655,1.4950498918354357E-4,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656
7,-6333.175011287655,1.4950498918354357E-4,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656
8,-6333.175011287655,1.4950498918354357E-4,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656
9,-6333.175011287655,1.4950498918354357E-4,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656
10,-6333.175011287655,1.4950498918354357E-4,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656
11,-6333.175011287655,1.4950498918354357E-4,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656
12,-6333.175011287655,1.4950498918354357E-4,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656
13,-6333.175011287655,1.4950498918354357E-4,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656
14,-6333.175011287655,1.4950498918354357E-4,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656
15,-6333.175011287655,1.4950498918354357E-4,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656
16,-6333.175011287655,1.4950498918354357E-4,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656,-6333.175011287656
