PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,44,44,44,44,44,44,44,44,44,44
1,0.0,28,28,28,28,28,28,28,28,28,28
2,0.0,16,16,16,16,16,16,16,16,16,16
3,0.0,5,5,5,5,5,5,5,5,5,5
4,0.0,4,4,4,4,4,4,4,4,4,4
5,0.0,3,3,3,3,3,3,3,3,3,3
6,NaN,0,0,0,0,0,0,0,0,0,0
7,NaN,0,0,0,0,0,0,0,0,0,0
8,NaN,0,0,0,0,0,0,0,0,0,0
9,NaN,0,0,0,0,0,0,0,0,0,0
10,NaN,0,0,0,0,0,0,0,0,0,0
11,NaN,0,0,0,0,0,0,0,0,0,0
12,NaN,0,0,0,0,0,0,0,0,0,0
13,NaN,0,0,0,0,0,0,0,0,0,0
14,NaN,0,0,0,0,0,0,0,0,0,0
15,NaN,0,0,0,0,0,0,0,0,0,0
