PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0,10,11,7,5,6,6,9,9,9,2
1,0.0,6,9,8,9,11,8,12,7,8,6
2,0.0,10,7,8,5,8,9,7,5,8,8
3,0.0,8,5,11,10,10,9,7,7,10,8
4,0.0,3,5,3,5,6,3,4,1,5,4
5,0.0,7,6,7,5,6,6,7,5,5,8
6,0.0,5,6,9,5,3,9,3,6,1,3
7,0.0,7,10,8,7,1,6,3,6,6,8
8,0.0,4,6,6,9,7,6,6,8,6,9
9,0.0,9,7,4,2,9,5,7,6,8,5
10,0.0,4,5,3,7,6,5,7,8,5,6
11,0.0,7,3,7,4,6,8,6,8,5,7
12,0.0,6,8,8,9,7,2,9,8,8,5
13,0.0,5,3,5,7,7,8,7,8,7,8
14,0.0,6,3,6,6,2,5,4,2,4,6
15,0.0,3,6,0,5,5,5,2,6,5,7
