Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,1.5199999999999978,0.034641016151003866,1.55,1.55,1.58,1.49,1.51,1.46,1.55,1.49,1.51,1.51
1,1.609999999999985,0.0952890339966006,1.6,1.44,1.71,1.55,1.74,1.53,1.63,1.54,1.61,1.75
2,1.6249999999999918,0.08651589449352681,1.61,1.5,1.65,1.62,1.75,1.51,1.58,1.61,1.63,1.79
3,1.6430000000000198,0.08532877591956846,1.62,1.49,1.66,1.64,1.79,1.54,1.65,1.64,1.63,1.77
4,1.6510000000000253,0.08395832299380399,1.61,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
5,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
6,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
7,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
8,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
9,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
10,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
11,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
12,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
13,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
14,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
15,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
16,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
17,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
18,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
19,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
20,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
21,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
22,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
23,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
24,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
25,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
26,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
27,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
28,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
29,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
30,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
31,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
32,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
33,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
34,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
35,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
36,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
37,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
38,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
39,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,1.5199999999999978,0.034641016151003866,1.55,1.55,1.58,1.49,1.51,1.46,1.55,1.49,1.51,1.51
1,1.609999999999985,0.0952890339966006,1.6,1.44,1.71,1.55,1.74,1.53,1.63,1.54,1.61,1.75
2,1.6249999999999918,0.08651589449352681,1.61,1.5,1.65,1.62,1.75,1.51,1.58,1.61,1.63,1.79
3,1.6430000000000198,0.08532877591956846,1.62,1.49,1.66,1.64,1.79,1.54,1.65,1.64,1.63,1.77
4,1.6510000000000253,0.08395832299380399,1.61,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
5,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
6,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
7,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
8,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
9,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
10,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
11,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
12,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
13,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
14,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
15,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
16,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
17,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
18,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
19,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
20,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
21,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
22,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
23,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
24,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
25,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
26,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
27,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
28,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
29,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
30,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
31,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
32,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
33,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
34,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
35,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
36,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
37,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
38,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
39,1.656000000000025,0.0828492607084338,1.66,1.52,1.66,1.65,1.82,1.56,1.65,1.64,1.63,1.77
